YEAR,STATE,Health_Score
2021,AL,-5.500604646552055
2021,AK,-10.110311507610167
2021,AZ,3.5521447662888677
2021,AR,-9.556891248446433
2021,CA,11.529202938787295
2021,CO,-1.1274373304526062
2021,CT,4.993736835384424
2021,DE,-0.6557483135171174
2021,FL,0.3756777502902626
2021,GA,1.4048724540592965
2021,HI,10.3009566137027
2021,ID,-0.3766847172606702
2021,IL,0.9584643549775972
2021,IN,-5.057545813121715
2021,IA,2.3624272603187593
2021,KS,0.5909309771383171
2021,KY,-11.524377478721734
2021,LA,-14.916469549644242
2021,ME,-6.483267110349182
2021,MD,3.573685084990541
2021,MA,7.963779186006611
2021,MI,-3.381185804040561
2021,MN,0.5021458198821112
2021,MS,-9.502286061721811
2021,MO,-6.420800797106681
2021,MT,-11.635656121474705
2021,NE,2.4592771813360637
2021,NV,-2.350952205506244
2021,NH,-1.5798993931672063
2021,NJ,9.203949367137028
2021,NM,-3.311999658016842
2021,NY,9.62106037331531
2021,NC,-2.6859634749218895
2021,ND,-0.44127539688335654
2021,OH,-7.923700915439456
2021,OK,-5.685945586189218
2021,OR,0.3323622212608597
2021,PA,-0.7316936947433301
2021,RI,-0.23660610779358238
2021,SC,-6.17532183515883
2021,SD,-4.05724132234697
2021,TN,-7.68592959417873
2021,TX,4.756519041359569
2021,UT,8.020414718139026
2021,VT,-7.432721346926845
2021,VA,3.145926409143983
2021,WA,3.072456107522843
2021,WV,-14.254644268944825
2021,WI,-3.7265887883764917
2021,WY,-5.055103533697702
2020,AL,-12.661129073371779
2020,AK,-4.778844921039864
2020,AZ,2.2347087555156175
2020,AR,-13.980678228422729
2020,CA,14.638940108620398
2020,CO,1.978770550581669
2020,CT,6.9730232881278855
2020,DE,-1.543746746409909
2020,FL,2.768033088346165
2020,GA,-1.2421290088465575
2020,HI,14.019622158033025
2020,ID,1.4093066680656807
2020,IL,0.8449368513900728
2020,IN,-8.073861153258015
2020,IA,0.7234511572297635
2020,KS,-2.658461883660295
2020,KY,-17.811375339757575
2020,LA,-21.640499410447486
2020,ME,-6.123739228586066
2020,MD,2.5901388415508713
2020,MA,8.982885792923968
2020,MI,-5.876701446510644
2020,MN,4.88806258010855
2020,MS,-16.36685439461101
2020,MO,-11.472298504155825
2020,MT,-11.587118172341818
2020,NE,1.9153078889749278
2020,NV,-1.9653247758181167
2020,NH,0.16694657749285147
2020,NJ,9.019852433055071
2020,NM,-6.53537431658745
2020,NY,9.583192705446399
2020,NC,-4.8594093937466365
2020,ND,-5.408130350566674
2020,OH,-11.688168731964616
2020,OK,-9.448462580050446
2020,OR,4.363164006377683
2020,PA,-2.944226686350805
2020,RI,3.0085130503037787
2020,SC,-11.32913832214722
2020,SD,-7.238924094136386
2020,TN,-13.81615944760705
2020,TX,3.3419240260928635
2020,UT,8.1601290459535
2020,VT,5.848454969425585
2020,VA,4.41902482212828
2020,WA,5.615200127066937
2020,WV,-22.41817264926315
2020,WI,-4.165176659630127
2020,WY,-6.760629282318525
2019,AL,-9.762778130206168
2019,AK,-4.508968066633602
2019,AZ,7.3526942992595
2019,AR,-8.926976705071251
2019,CA,17.94206880374345
2019,CO,6.286874242087775
2019,CT,11.882295346427387
2019,DE,-1.3799660832800615
2019,FL,3.967630236657321
2019,GA,1.5617950315144131
2019,HI,13.279824610354108
2019,ID,3.9979931658053767
2019,IL,3.8169234595479855
2019,IN,-1.853659915969375
2019,IA,4.138282888559376
2019,KS,2.8981718137360746
2019,KY,-9.785990428929203
2019,LA,-15.719128172349185
2019,ME,-5.073187711579411
2019,MD,5.847721768118191
2019,MA,11.609742764370925
2019,MI,-1.7925812579503666
2019,MN,6.398798398743216
2019,MS,-10.910792039818276
2019,MO,-7.3453175997068865
2019,MT,-8.316773326365226
2019,NE,6.023869747550034
2019,NV,-0.26138071252557293
2019,NH,2.067384153685867
2019,NJ,10.768558220965943
2019,NM,-2.165739147577421
2019,NY,16.19777331669654
2019,NC,-1.1646311422826354
2019,ND,-3.654413465125816
